№,Секунда,Микросекунда
1,41,104034
2,41,114189
3,41,124740
4,41,135254
5,41,145297
6,41,155361
7,41,165900
8,41,176172
9,41,186280
10,41,196828
11,41,207095
12,41,217187
13,41,227694
14,41,238203
15,41,248727
16,41,259288
17,41,269905
18,41,280330
19,41,290564
20,41,300649
21,41,311022
22,41,321155
23,41,331348
24,41,341566
25,41,352100
26,41,362641
27,41,372776
28,41,383341
29,41,393647
30,41,404065
31,41,414336
32,41,425067
33,41,435311
34,41,445483
35,41,456077
36,41,466726
37,41,477164
38,41,487867
39,41,498124
40,41,508186
41,41,518282
42,41,528335
43,41,538662
44,41,549075
45,41,559585
46,41,570133
47,41,580695
48,41,591519
49,41,601790
50,41,611848
51,41,622404
52,41,632902
53,41,643435
54,41,653810
55,41,664267
56,41,674822
57,41,685176
58,41,695362
59,41,705892
60,41,716390
61,41,726914
62,41,737444
63,41,748235
64,41,758740
65,41,769311
66,41,779470
67,41,790117
68,41,800665
69,41,810751
70,41,820843
71,41,831284
72,41,841490
73,41,852040
74,41,862262
75,41,872856
76,41,883064
77,41,893183
78,41,903529
79,41,914086
80,41,924244
81,41,934748
82,41,945293
83,41,955840
84,41,966266
85,41,976581
86,41,986968
87,41,997672
88,42,7928
89,42,18109
90,42,28578
91,42,39129
92,42,49697
93,42,59861
94,42,69978
95,42,80317
96,42,90523
97,42,100698
98,42,111123
99,42,121578
100,42,132043
101,42,142607
102,42,152977
103,42,163309
104,42,173412
105,42,183977
106,42,194547
107,42,205059
108,42,215863
109,42,226514
110,42,236917
111,42,247306
112,42,257631
113,42,268159
114,42,278769
115,42,289343
116,42,299939
117,42,310574
118,42,320870
119,42,331401
120,42,342011
121,42,352105
122,42,362587
123,42,373089
124,42,383590
125,42,394110
126,42,404654
127,42,414837
128,42,425147
129,42,435673
130,42,446219
131,42,456354
132,42,466900
133,42,477056
134,42,487391
135,42,498055
136,42,508382
137,42,518829
138,42,529448
139,42,539767
140,42,550134
141,42,560664
142,42,571271
143,42,581873
144,42,592451
145,42,602664
146,42,613300
147,42,623617
148,42,634178
149,42,644733
150,42,655254
151,42,665451
152,42,675719
153,42,686225
154,42,696587
155,42,706926
156,42,717334
157,42,727477
158,42,737713
159,42,748120
160,42,758754
161,42,769178
162,42,779626
163,42,789762
164,42,800167
165,42,810425
166,42,820528
167,42,831025
168,42,841141
169,42,851383
170,42,861815
171,42,872333
172,42,882437
173,42,892605
174,42,903223
175,42,913633
176,42,923837
177,42,934093
178,42,944689
179,42,954927
180,42,965136
181,42,975484
182,42,985874
183,42,996304
184,43,6868
185,43,17381
186,43,27596
187,43,37961
188,43,48456
189,43,58906
190,43,69403
191,43,79508
192,43,90057
193,43,100398
194,43,110836
195,43,121103
196,43,131692
197,43,142063
198,43,152478
199,43,162978
200,43,173188
201,43,183513
202,43,193871
203,43,204343
204,43,214503
205,43,224696
206,43,234886
207,43,245200
208,43,255487
209,43,265813
210,43,276101
211,43,286633
212,43,297102
213,43,307531
214,43,318048
215,43,328133
216,43,338740
217,43,349003
218,43,359439
219,43,370055
220,43,380511
221,43,390711
222,43,400827
223,43,411393
224,43,421890
225,43,432392
226,43,442722
227,43,452830
228,43,463374
229,43,473856
230,43,483907
231,43,494473
232,43,504815
233,43,515154
234,43,525273
235,43,535543
236,43,546154
237,43,556557
238,43,567032
239,43,577467
240,43,587740
241,43,597849
242,43,608427
243,43,618990
244,43,629521
245,43,640061
246,43,650201
247,43,660726
248,43,671346
249,43,681811
250,43,691871
251,43,702154
252,43,712204
253,43,722593
254,43,733108
255,43,743620
256,43,754179
257,43,764680
258,43,775298
259,43,785727
260,43,796100
261,43,806337
262,43,816846
263,43,827339
264,43,837703
265,43,847741
266,43,858073
267,43,868129
268,43,878781
269,43,889392
270,43,899749
271,43,910224
272,43,920302
273,43,930963
274,43,941058
275,43,951518
276,43,961549
277,43,972110
278,43,982527
279,43,992659
280,44,2770
281,44,13125
282,44,23471
283,44,33753
284,44,44056
285,44,54264
286,44,64742
287,44,74916
288,44,85042
289,44,95588
290,44,106176
291,44,116735
292,44,127148
293,44,137622
294,44,148199
295,44,158306
296,44,168445
297,44,178661
298,44,188761
299,44,199127
300,44,209651
